Name,Height,Weight,Body_mass_index,Games_Played,Goals,Assists,Shots_on_Goal,Points
Aaron Downey,185,98,28.6,243,8.0,10.0,85.0,18.0
Aaron Gagnon,180,85,26.2,38,3.0,2.0,28.0,5.0
Aaron Gavey,188,86,24.3,197,23.0,32.0,224.0,55.0
Aaron MacKenzie,183,88,26.3,5,0.0,0.0,3.0,0.0
Aaron Miller,190,94,26.0,475,13.0,64.0,353.0,77.0
Aaron Ness,178,83,26.2,71,1.0,6.0,50.0,7.0
Aaron Palushaj,183,85,25.4,68,3.0,11.0,71.0,14.0
Aaron Rome,185,100,29.2,226,6.0,22.0,194.0,28.0
Aaron Volpatti,185,92,26.9,114,5.0,2.0,63.0,7.0
Aaron Voros,193,98,26.3,162,18.0,19.0,148.0,37.0
Aaron Ward,188,98,27.7,672,33.0,88.0,543.0,121.0
Adam Almqvist,180,78,24.1,2,1.0,0.0,2.0,1.0
Adam Berti,190,94,26.0,2,0.0,0.0,1.0,0.0
Adam Burish,185,88,25.7,378,27.0,33.0,414.0,60.0
Adam Burt,188,95,26.9,94,1.0,8.0,67.0,9.0
Adam Cracknell,190,95,26.3,210,21.0,22.0,245.0,43.0
Adam Deadmarsh,183,95,28.4,224,77.0,79.0,473.0,156.0
Adam Foote,188,100,28.3,655,43.0,152.0,697.0,195.0
Adam Graves,183,93,27.8,322,59.0,56.0,587.0,115.0
Adam Hall,190,97,26.9,682,69.0,87.0,978.0,156.0
Adam Henrique,183,88,26.3,665,186.0,192.0,1208.0,378.0
Adam Mair,185,94,27.5,615,38.0,76.0,579.0,114.0
Adam McQuaid,193,95,25.5,512,16.0,57.0,403.0,73.0
Adam Oates,180,86,26.5,370,53.0,241.0,366.0,294.0
Adam Pardy,193,100,26.9,342,4.0,48.0,251.0,52.0
Adam Pineault,185,91,26.6,3,0.0,0.0,5.0,0.0
Adrian Aucoin,188,98,27.7,871,85.0,234.0,1668.0,319.0
Aki Berg,190,97,26.9,442,13.0,49.0,339.0,62.0
Akim Aliu,190,93,25.8,7,2.0,1.0,5.0,3.0
Al MacInnis,185,93,27.2,274,50.0,159.0,1002.0,209.0
Alain Nasreddine,185,93,27.2,59,1.0,4.0,35.0,5.0
Alan Letang,185,92,26.9,14,0.0,0.0,3.0,0.0
Alec Martinez,185,95,27.8,607,64.0,142.0,902.0,206.0
Aleksander Suglobov,183,91,27.2,18,1.0,0.0,24.0,1.0
Aleksey Morozov,185,93,27.2,308,62.0,112.0,513.0,174.0
Ales Hemsky,183,83,24.8,845,174.0,398.0,1650.0,572.0
Ales Kotalik,185,102,29.8,542,136.0,148.0,1373.0,284.0
Ales Pisa,183,88,26.3,53,1.0,3.0,40.0,4.0
Alex Biega,178,90,28.4,228,4.0,35.0,330.0,39.0
Alex Bolduc,190,91,25.2,65,2.0,3.0,63.0,5.0
Alex Brooks,185,88,25.7,19,0.0,1.0,4.0,1.0
Alex Burrows,185,85,24.8,913,205.0,204.0,1736.0,409.0
Alex Foster,185,86,25.1,3,0.0,0.0,1.0,0.0
Alex Friesen,175,84,27.4,1,0.0,0.0,1.0,0.0
Alex Goligoski,180,84,25.9,868,80.0,327.0,1367.0,407.0
Alex Grant,193,93,25.0,7,2.0,0.0,6.0,2.0
Alex Henry,198,104,26.5,177,2.0,9.0,86.0,11.0
Alex Hicks,183,86,25.7,8,1.0,2.0,6.0,3.0
Alex Killorn,188,90,25.5,585,131.0,179.0,1154.0,310.0
Alex Korolyuk,175,86,28.1,222,48.0,59.0,421.0,107.0
Alex Kovalev,185,102,29.8,851,291.0,417.0,2484.0,708.0
Alex Ovechkin,190,108,29.9,1152,706.0,572.0,5545.0,1278.0
Alex Petrovic,193,93,25.0,263,5.0,45.0,253.0,50.0
Alex Pietrangelo,190,93,25.8,758,109.0,341.0,1801.0,450.0
