Name,Position,Height,Weight,Body_mass_index,Games_Played,Goals,Assists,Shots_on_Goal
Sergei Samsonov,Left_wing,173,85,28.4,728,188.0,285.0,1455.0
Sergei Shirokov,Left_wing,178,88,27.8,8,1.0,0.0,10.0
Sergei Vyshedkevich,Defence,185,88,25.7,30,2.0,5.0,33.0
Sergei Zholtok,Centre,185,89,26.0,358,80.0,101.0,733.0
Sergei Zinovjev,Centre,178,84,26.5,10,0.0,1.0,8.0
Sergei Zubov,Defence,185,91,26.6,607,78.0,320.0,1258.0
Sergey Gusev,Defence,185,93,27.2,44,3.0,3.0,36.0
Shane Doan,Right_wing,185,101,29.5,1291,380.0,530.0,3541.0
Shane Endicott,Centre,193,91,24.4,45,1.0,2.0,46.0
Shane Harper,Right_wing,180,88,27.2,14,2.0,1.0,13.0
Shane Hnidy,Defence,188,95,26.9,550,16.0,55.0,453.0
Shane O'Brien,Defence,190,104,28.8,537,13.0,79.0,429.0
Shane Sims,Defence,185,88,25.7,1,0.0,0.0,0.0
Shane Willis,Right_wing,185,87,25.4,167,31.0,43.0,355.0
Shaone Morrisonn,Defence,193,95,25.5,480,11.0,64.0,293.0
Shaun Heshka,Defence,185,94,27.5,8,0.0,2.0,3.0
Shaun Van Allen,Left_wing,185,93,27.2,358,38.0,78.0,268.0
Shawn Bates,Centre,183,95,28.4,419,65.0,122.0,660.0
Shawn Belle,Defence,185,106,31.0,20,0.0,1.0,12.0
Shawn Burr,Left_wing,185,93,27.2,4,0.0,2.0,6.0
Shawn Chambers,Defence,188,91,25.8,4,0.0,0.0,2.0
Shawn Heins,Defence,193,95,25.5,120,4.0,12.0,121.0
Shawn Horcoff,Centre,185,92,26.9,1008,186.0,325.0,1523.0
Shawn Lalonde,Defence,185,87,25.4,1,0.0,0.0,0.0
Shawn Matthias,Centre,193,101,27.1,551,90.0,84.0,849.0
Shawn McEachern,Left_wing,180,88,27.2,387,105.0,153.0,982.0
Shawn Thornton,Right_wing,188,98,27.7,705,42.0,60.0,991.0
Shay Stephenson,Left_wing,193,91,24.4,2,0.0,0.0,0.0
Shayne Corson,Left_wing,185,93,27.2,284,40.0,72.0,424.0
Shea Weber,Defence,193,107,28.7,990,218.0,352.0,2661.0
Shean Donovan,Right_wing,188,95,26.9,655,75.0,93.0,880.0
Sheldon Brookbank,Defence,185,92,26.9,351,7.0,37.0,282.0
Sheldon Keefe,Right_wing,180,84,25.9,125,12.0,12.0,135.0
Sheldon Souray,Defence,193,108,29.0,628,105.0,177.0,1595.0
Shjon Podein,Right_wing,188,90,25.5,289,38.0,41.0,360.0
Sidney Crosby,Centre,180,91,28.1,984,462.0,801.0,3172.0
Simon Despres,Defence,193,99,26.6,193,6.0,37.0,232.0
Simon Gagne,Left_wing,185,88,25.7,822,291.0,310.0,2312.0
Simon Gamache,Left_wing,175,82,26.8,48,6.0,7.0,55.0
Slava Kozlov,Left_wing,178,86,27.1,719,192.0,320.0,1631.0
Slava Voynov,Defence,183,86,25.7,190,18.0,63.0,313.0
Spencer Machacek,Right_wing,185,91,26.6,25,2.0,7.0,20.0
Stacy Roest,Right_wing,175,84,27.4,185,24.0,40.0,281.0
Staffan Kronwall,Defence,193,95,25.5,66,1.0,3.0,37.0
Stan Drulia,Right_wing,180,86,26.5,102,13.0,26.0,114.0
Stan Neckar,Defence,185,97,28.3,283,6.0,24.0,136.0
Stanislav Chistov,Centre,178,91,28.7,196,19.0,42.0,233.0
Stanislav Galiev,Right_wing,185,85,24.8,26,1.0,3.0,32.0
Stanislav Gron,Right_wing,188,93,26.3,1,0.0,0.0,2.0
Stefan Della Rovere,Left_wing,180,91,28.1,7,0.0,0.0,4.0
Stefan Elliott,Defence,185,86,25.1,87,8.0,17.0,170.0
Stefan Meyer,Left_wing,188,91,25.8,20,0.0,2.0,12.0
Stefan Ruzicka,Right_wing,183,91,27.2,55,4.0,13.0,86.0
Stephane Da Costa,Centre,180,83,25.6,47,7.0,4.0,75.0
Stephane Matteau,Left_wing,193,98,26.3,256,36.0,39.0,244.0
Stephane Quintal,Defence,190,106,29.4,362,17.0,52.0,455.0
Stephane Richer,Right_wing,190,103,28.5,124,29.0,36.0,233.0
Stephane Robidas,Defence,180,86,26.5,937,57.0,201.0,1283.0
Stephane Veilleux,Centre,185,90,26.3,506,50.0,56.0,687.0
Stephane Yelle,Centre,188,84,23.8,688,59.0,116.0,733.0
Stephen Gionta,Right_wing,170,84,29.1,301,16.0,40.0,329.0
Stephen Guolla,Left_wing,183,86,25.7,141,24.0,35.0,188.0
Stephen Johns,Defence,193,104,27.9,167,15.0,18.0,255.0
Stephen Peat,Right_wing,190,104,28.8,130,8.0,2.0,41.0
Stephen Weiss,Centre,180,86,26.5,732,156.0,267.0,1320.0
Steve Bancroft,Defence,185,98,28.6,5,0.0,1.0,5.0
Steve Begin,Centre,183,87,26.0,519,56.0,52.0,719.0
Steve Bernier,Right_wing,190,98,27.1,637,105.0,125.0,992.0
Steve Brule,Centre,180,84,25.9,2,0.0,0.0,2.0
Steve Downie,Right_wing,180,87,26.9,434,76.0,120.0,606.0
Steve Dubinsky,Centre,183,86,25.7,140,12.0,13.0,170.0
Steve Duchesne,Defence,183,89,26.6,197,19.0,65.0,300.0
Steve Eminger,Defence,188,94,26.6,488,19.0,80.0,303.0
Steve Gainey,Left_wing,185,87,25.4,33,0.0,2.0,12.0
Steve Halko,Defence,185,91,26.6,117,0.0,10.0,83.0
Steve Heinze,Right_wing,180,92,28.4,254,59.0,63.0,456.0
Steve Kariya,Left_wing,170,77,26.6,65,9.0,18.0,63.0
Steve Kelly,Centre,188,91,25.8,64,5.0,6.0,42.0
Steve Konowalchuk,Left_wing,185,93,27.2,372,82.0,107.0,655.0
Steve Leach,Right_wing,180,91,28.1,56,2.0,3.0,41.0
Steve MacIntyre,Left_wing,196,113,29.4,91,2.0,2.0,15.0
Steve Maltais,Right_wing,188,93,26.3,26,0.0,3.0,30.0
Steve Martins,Centre,175,84,27.4,203,16.0,18.0,193.0
Steve McCarthy,Defence,185,93,27.2,302,17.0,38.0,280.0
Steve McKenna,Left_wing,203,116,28.1,282,13.0,10.0,139.0
Steve McLaren,Left_wing,183,103,30.8,6,0.0,0.0,2.0
Steve Montador,Defence,183,95,28.4,571,33.0,98.0,770.0
Steve Moore,Centre,185,95,27.8,69,5.0,7.0,57.0
Steve Ott,Centre,183,88,26.3,848,109.0,179.0,1115.0
Steve Pinizzotto,Right_wing,185,91,26.6,36,2.0,4.0,26.0
Steve Poapst,Defence,183,91,27.2,282,7.0,28.0,202.0
Steve Regier,Left_wing,193,88,23.6,26,3.0,1.0,22.0
Steve Reinprecht,Centre,183,91,27.2,663,140.0,242.0,981.0
Steve Rucchin,Centre,188,98,27.7,408,87.0,159.0,716.0
Steve Smith,Defence,193,98,26.3,33,0.0,6.0,13.0
Steve Staios,Defence,185,91,26.6,792,50.0,144.0,1087.0
Steve Sullivan,Centre,175,73,23.8,815,242.0,390.0,1776.0
Steve Thomas,Right_wing,178,84,26.5,297,69.0,95.0,555.0
Steve Wagner,Defence,188,91,25.8,46,4.0,8.0,41.0
Steve Washburn,Centre,188,90,25.5,4,0.0,0.0,1.0
Steve Webb,Right_wing,183,96,28.7,215,4.0,9.0,96.0
Steve Yzerman,Centre,178,85,26.8,336,100.0,172.0,733.0
Steven Goertzen,Right_wing,188,99,28.0,68,2.0,2.0,43.0
Steven Kampfer,Defence,180,87,26.9,211,13.0,21.0,253.0
Steven Stamkos,Centre,185,88,25.7,803,422.0,410.0,2498.0
Steven Zalewski,Centre,183,88,26.3,10,0.0,0.0,9.0
Stewart Malgunas,Defence,183,91,27.2,4,0.0,1.0,0.0
Stu Barnes,Centre,180,82,25.3,622,120.0,168.0,1020.0
Stu Bickel,Defence,193,95,25.5,76,0.0,10.0,27.0
Stu Grimson,Left_wing,193,109,29.3,152,5.0,5.0,45.0
Sven Butenschon,Defence,193,98,26.3,115,2.0,12.0,59.0
Sylvain Blouin,Left_wing,188,94,26.6,103,3.0,4.0,69.0
Sylvain Cote,Defence,180,86,26.5,215,18.0,49.0,315.0
Sylvain Lefebvre,Defence,190,93,25.8,229,4.0,30.0,140.0
T.J. Brennan,Defence,185,98,28.6,53,5.0,8.0,78.0
T.J. Brodie,Defence,188,82,23.2,634,48.0,218.0,768.0
T.J. Galiardi,Left_wing,188,88,24.9,321,44.0,61.0,512.0
T.J. Hensick,Centre,178,86,27.1,112,12.0,26.0,193.0
T.J. Oshie,Right_wing,183,86,25.7,803,238.0,329.0,1660.0
Tanner Glass,Left_wing,185,97,28.3,527,24.0,45.0,413.0
Tavis Hansen,Right_wing,188,94,26.6,12,0.0,0.0,4.0
Taylor Beck,Left_wing,188,92,26.0,92,11.0,12.0,131.0
Taylor Chorney,Defence,183,86,25.7,166,4.0,18.0,115.0
Taylor Hall,Left_wing,185,91,26.6,627,218.0,345.0,2102.0
Taylor Pyatt,Left_wing,193,104,27.9,859,140.0,140.0,1299.0
Ted Donato,Centre,178,82,25.9,263,27.0,42.0,276.0
Ted Drury,Centre,183,94,28.1,67,3.0,2.0,60.0
Teddy Purcell,Right_wing,188,88,24.9,571,101.0,206.0,1083.0
Teemu Hartikainen,Centre,185,98,28.6,52,6.0,7.0,66.0
Teemu Laakso,Defence,185,95,27.8,17,0.0,0.0,9.0
Teemu Selanne,Right_wing,183,90,26.9,966,371.0,442.0,2706.0
Teppo Numminen,Defence,185,87,25.4,579,41.0,213.0,707.0
Terry Virtue,Defence,183,91,27.2,1,0.0,0.0,2.0
Terry Yake,Right_wing,180,86,26.5,73,10.0,17.0,68.0
Theo Fleury,Right_wing,168,82,29.1,278,81.0,153.0,875.0
Theo Peckham,Defence,188,106,30.0,160,4.0,13.0,85.0
Thomas Hickey,Defence,183,86,25.7,449,22.0,93.0,494.0
Thomas Pock,Defence,185,95,27.8,118,8.0,9.0,152.0
Thomas Vanek,Left_wing,188,97,27.4,1029,373.0,416.0,2609.0
Thomas Ziegler,Centre,178,79,24.9,5,0.0,0.0,2.0
Tie Domi,Right_wing,178,97,30.6,462,54.0,64.0,459.0
Tim Brent,Centre,183,85,25.4,207,21.0,27.0,171.0
Tim Conboy,Defence,188,95,26.9,59,0.0,6.0,34.0
Tim Connolly,Centre,185,86,25.1,697,131.0,300.0,1369.0
Tim Erixon,Defence,188,86,24.3,93,2.0,12.0,67.0
Tim Gleason,Defence,183,98,29.3,727,17.0,125.0,706.0
Tim Jackman,Right_wing,193,100,26.9,483,32.0,43.0,589.0
Tim Kennedy,Left_wing,178,84,26.5,162,15.0,24.0,189.0
Tim Ramholt,Defence,185,88,25.7,1,0.0,0.0,0.0
Tim Sestito,Centre,180,91,28.1,101,0.0,8.0,63.0
Tim Stapleton,Right_wing,175,73,23.8,118,19.0,18.0,133.0
Tim Taylor,Centre,185,88,25.7,479,34.0,54.0,521.0
Tim Wallace,Right_wing,185,94,27.5,101,4.0,9.0,64.0
Timo Helbling,Defence,190,98,27.1,11,0.0,1.0,2.0
Timo Parssinen,Left_wing,178,80,25.2,17,0.0,3.0,16.0
Timofei Shishkanov,Right_wing,185,95,27.8,24,3.0,2.0,26.0
Toby Enstrom,Defence,178,82,25.9,719,54.0,254.0,819.0
Toby Petersen,Centre,178,89,28.1,398,33.0,48.0,531.0
Todd Bertuzzi,Right_wing,190,104,28.8,913,265.0,394.0,2031.0
Todd Fedoruk,Left_wing,188,109,30.8,545,32.0,65.0,349.0
Todd Gill,Defence,183,82,24.5,163,6.0,19.0,162.0
Todd Harvey,Right_wing,183,95,28.4,395,42.0,54.0,382.0
Todd Marchant,Centre,178,82,25.9,828,112.0,216.0,1303.0
Todd Reirden,Defence,193,97,26.0,166,9.0,32.0,229.0
Todd Rohloff,Defence,188,99,28.0,75,0.0,6.0,41.0
Todd Simpson,Defence,190,103,28.5,366,10.0,37.0,286.0
Todd Warriner,Left_wing,185,91,26.6,218,32.0,42.0,332.0
Todd White,Centre,178,90,28.4,611,135.0,232.0,1040.0
Tom Cavanagh,Right_wing,183,91,27.2,18,1.0,2.0,9.0
Tom Chorske,Left_wing,185,96,28.1,33,1.0,5.0,14.0
Tom Fitzgerald,Right_wing,183,88,26.3,448,45.0,59.0,599.0
Tom Gilbert,Defence,188,92,26.0,655,45.0,178.0,741.0
Tom Koivisto,Defence,178,88,27.8,22,2.0,4.0,26.0
Tom Poti,Defence,190,86,23.8,751,64.0,242.0,1167.0
Tom Preissing,Defence,183,90,26.9,326,31.0,101.0,453.0
Tom Pyatt,Centre,180,85,26.2,445,43.0,58.0,522.0
Tom Sestito,Left_wing,196,103,26.8,154,10.0,11.0,61.0
Tom Wandell,Centre,185,91,26.6,229,20.0,23.0,319.0
Tomas Divisek,Centre,188,93,26.3,5,1.0,0.0,5.0
Tomas Fleischmann,Left_wing,185,87,25.4,657,137.0,198.0,1300.0
Tomas Holmstrom,Left_wing,183,93,27.8,840,219.0,246.0,1288.0
Tomas Kaberle,Defence,185,96,28.1,927,83.0,458.0,1395.0
Tomas Kana,Centre,183,93,27.8,6,0.0,2.0,4.0
Tomas Kloucek,Defence,190,107,29.6,141,2.0,8.0,56.0
Tomas Kopecky,Left_wing,190,92,25.5,578,68.0,106.0,934.0
Tomas Kubalik,Right_wing,188,86,24.3,12,1.0,3.0,13.0
Tomas Kundratek,Defence,185,86,25.1,30,1.0,6.0,25.0
Tomas Kurka,Left_wing,180,86,26.5,17,3.0,2.0,25.0
Tomas Malec,Defence,188,88,24.9,46,0.0,2.0,33.0
Tomas Mojzis,Defence,183,88,26.3,17,1.0,2.0,16.0
Tomas Plekanec,Centre,180,88,27.2,1001,233.0,375.0,2360.0
Tomas Plihal,Centre,185,86,25.1,89,7.0,9.0,123.0
Tomas Surovy,Left_wing,185,98,28.6,126,27.0,32.0,266.0
Tomas Tatar,Left_wing,180,84,25.9,575,166.0,181.0,1269.0
Tomas Vincour,Centre,188,93,26.3,95,7.0,10.0,105.0
Tomas Vlasak,Left_wing,178,79,24.9,10,1.0,3.0,15.0
Tomas Zizka,Defence,185,97,28.3,25,2.0,6.0,36.0
Tomi Kallio,Right_wing,183,86,25.7,140,24.0,31.0,245.0
Tomi Maki,Right_wing,180,88,27.2,1,0.0,0.0,0.0
Tomi Pettinen,Defence,193,100,26.9,24,0.0,0.0,9.0
Tommi Santala,Centre,190,95,26.3,63,2.0,7.0,43.0
Tommy Albelin,Defence,188,88,24.9,278,8.0,43.0,211.0
Tommy Westlund,Right_wing,183,92,27.5,203,9.0,13.0,143.0
Tommy Wingels,Centre,183,91,27.2,448,62.0,81.0,740.0
Toni Dahlman,Right_wing,183,88,26.3,22,1.0,1.0,10.0
Toni Lydman,Defence,185,94,27.5,847,36.0,206.0,989.0
Tony Amonte,Right_wing,183,91,27.2,559,169.0,221.0,1422.0
Tony Granato,Left_wing,178,84,26.5,108,10.0,12.0,152.0
Tony Hrkac,Centre,180,83,25.6,307,44.0,77.0,314.0
Tony Martensson,Centre,183,87,26.0,6,1.0,1.0,4.0
Tony Salmelainen,Left_wing,175,84,27.4,70,6.0,12.0,71.0
Tony Tuzzolino,Centre,188,94,26.6,8,0.0,0.0,4.0
Tony Virta,Right_wing,178,84,26.5,8,2.0,3.0,15.0
Torrey Mitchell,Centre,180,87,26.9,666,67.0,85.0,727.0
Travis Brigley,Left_wing,183,93,27.8,53,3.0,6.0,56.0
Travis Green,Centre,188,91,25.8,481,83.0,89.0,719.0
Travis Hamonic,Defence,188,92,26.0,637,37.0,151.0,1130.0
Travis Moen,Left_wing,188,99,28.0,747,59.0,77.0,787.0
Travis Roche,Defence,185,91,26.6,60,6.0,14.0,38.0
Travis Turnbull,Right_wing,183,89,26.6,3,1.0,0.0,3.0
Travis Zajac,Centre,188,84,23.8,991,195.0,337.0,1761.0
Trent Hunter,Right_wing,190,98,27.1,497,101.0,135.0,1211.0
Trent Klatt,Right_wing,183,102,30.5,322,64.0,76.0,594.0
Trent McCleary,Centre,183,82,24.5,12,1.0,0.0,4.0
Trent Whitfield,Centre,180,95,29.3,194,11.0,18.0,165.0
Trevor Daley,Defence,180,88,27.2,1058,89.0,220.0,1435.0
Trevor Frischmon,Centre,183,91,27.2,3,0.0,0.0,1.0
Trevor Gillies,Left_wing,190,103,28.5,57,2.0,1.0,17.0
Trevor Letowski,Right_wing,178,82,25.9,602,82.0,115.0,876.0
Trevor Lewis,Centre,185,90,26.3,674,70.0,93.0,1193.0
Trevor Linden,Centre,193,100,26.9,573,100.0,134.0,759.0
Triston Grant,Left_wing,188,98,27.7,11,0.0,1.0,5.0
Troy Bodie,Right_wing,196,103,26.8,159,9.0,12.0,158.0
Troy Brouwer,Right_wing,190,97,26.9,851,182.0,181.0,1326.0
Tuomas Pihlman,Left_wing,188,98,27.7,15,1.0,1.0,15.0
Tuomo Ruutu,Left_wing,183,93,27.8,735,148.0,198.0,1278.0
Turner Stevenson,Right_wing,190,100,27.7,323,38.0,62.0,406.0
Ty Jones,Right_wing,190,99,27.4,6,0.0,0.0,1.0
Ty Wishart,Defence,196,92,23.9,26,1.0,5.0,25.0
Tye McGinn,Left_wing,190,93,25.8,89,9.0,8.0,110.0
Tyler Arnason,Centre,180,93,28.7,487,88.0,157.0,1120.0
Tyler Bouck,Right_wing,183,89,26.6,91,4.0,8.0,69.0
Tyler Bozak,Centre,185,88,25.7,733,162.0,270.0,1233.0
Tyler Cuma,Defence,185,88,25.7,1,0.0,0.0,0.0
Tyler Eckford,Defence,185,93,27.2,7,0.0,1.0,2.0
Tyler Ennis,Left_wing,175,79,25.8,613,133.0,180.0,1319.0
Tyler Johnson,Centre,173,84,28.1,534,153.0,186.0,1154.0
Tyler Kennedy,Centre,180,86,26.5,527,89.0,126.0,1273.0
Tyler Myers,Defence,203,104,25.2,703,80.0,206.0,1177.0
Tyler Pitlick,Right_wing,188,92,26.0,248,41.0,32.0,361.0
Tyler Seguin,Centre,185,88,25.7,741,279.0,356.0,2601.0
Tyler Sloan,Left_wing,193,97,26.0,99,4.0,13.0,54.0
Tyler Toffoli,Right_wing,183,91,27.2,525,145.0,155.0,1402.0
Tyler Wright,Centre,183,86,25.7,384,71.0,63.0,589.0
Tyson Barrie,Defence,178,86,27.1,554,80.0,266.0,1232.0
Tyson Nash,Left_wing,180,87,26.9,372,27.0,37.0,451.0
Ulf Dahlen,Left_wing,188,88,24.9,280,70.0,105.0,492.0
Ulf Samuelsson,Defence,185,88,25.7,49,1.0,2.0,17.0
Uwe Krupp,Defence,198,106,27.0,12,0.0,1.0,10.0
Vaclav Nedorost,Centre,185,86,25.1,99,10.0,10.0,95.0
Vaclav Pletka,Left_wing,180,84,25.9,1,0.0,0.0,2.0
Vaclav Varada,Right_wing,183,94,28.1,388,46.0,95.0,632.0
Vadim Sharifijanov,Right_wing,183,93,27.8,37,5.0,5.0,46.0
Valeri Bure,Right_wing,178,82,25.9,310,97.0,131.0,1054.0
Valeri Kamensky,Left_wing,188,93,26.3,177,34.0,53.0,289.0
Valeri Zelepukin,Left_wing,185,91,26.6,113,14.0,25.0,163.0
Valtteri Filppula,Centre,183,89,26.6,1018,191.0,324.0,1410.0
Vernon Fiddler,Centre,180,93,28.7,877,104.0,157.0,1157.0
Viacheslav Butsayev,Centre,188,91,25.8,5,0.0,0.0,2.0
Victor Hedman,Defence,198,101,25.8,762,105.0,368.0,1533.0
Victor Oreskovich,Right_wing,190,99,27.4,67,2.0,7.0,74.0
Viktor Kozlov,Right_wing,196,107,27.9,612,141.0,253.0,1539.0
Viktor Stalberg,Left_wing,190,95,26.3,488,82.0,86.0,947.0
Viktor Tikhonov,Left_wing,188,85,24.1,111,11.0,11.0,112.0
Ville Koistinen,Defence,183,90,26.9,103,8.0,24.0,114.0
Ville Leino,Left_wing,185,83,24.2,286,40.0,79.0,338.0
Ville Nieminen,Right_wing,185,100,29.2,385,48.0,69.0,479.0
Ville Peltonen,Left_wing,178,94,29.7,309,43.0,77.0,537.0
Vincent Damphousse,Left_wing,185,93,27.2,373,85.0,191.0,809.0
Vincent Lecavalier,Centre,193,98,26.3,1130,408.0,513.0,3343.0
Vinny Prospal,Centre,188,87,24.6,955,234.0,455.0,2180.0
Vitali Yachmenev,Left_wing,180,88,27.2,283,47.0,66.0,414.0
Vitaly Vishnevski,Defence,188,98,27.7,552,16.0,52.0,456.0
Vladimir Chebaturkin,Defence,190,105,29.1,52,2.0,5.0,22.0
Vladimir Malakhov,Defence,196,104,27.1,270,17.0,63.0,438.0
Vladimir Mihalik,Defence,201,109,27.0,15,0.0,3.0,8.0
Vladimir Orszagh,Right_wing,180,88,27.2,266,53.0,64.0,428.0
Vladimir Sobotka,Centre,180,86,26.5,548,53.0,118.0,721.0
Vladimir Tarasenko,Right_wing,183,99,29.6,507,214.0,214.0,1660.0
Vladimir Tsyplakov,Left_wing,185,95,27.8,99,19.0,27.0,115.0
Vladimir Vujtek,Left_wing,185,86,25.1,8,0.0,1.0,5.0
Vladimir Zharkov,Left_wing,185,93,27.2,82,2.0,12.0,94.0
Vojtech Polak,Left_wing,178,82,25.9,5,0.0,0.0,5.0
Wade Belak,Right_wing,196,101,26.3,505,7.0,23.0,202.0
Wade Brookbank,Defence,193,102,27.4,127,6.0,3.0,38.0
Wade Redden,Defence,188,93,26.3,789,87.0,289.0,1473.0
Wade Skolney,Defence,183,86,25.7,1,0.0,0.0,0.0
Warren Luhning,Right_wing,188,84,23.8,10,0.0,1.0,7.0
Warren Peters,Centre,183,92,27.5,96,4.0,4.0,86.0
Wayne Primeau,Centre,193,104,27.9,590,55.0,107.0,752.0
Wayne Simmonds,Right_wing,188,83,23.5,909,251.0,248.0,1980.0
Wendel Clark,Left_wing,180,89,27.5,33,4.0,2.0,63.0
Wes O'Neill,Defence,193,91,24.4,5,0.0,0.0,2.0
Wes Walz,Centre,178,86,27.1,438,82.0,100.0,647.0
Willie Mitchell,Defence,190,95,26.3,907,34.0,146.0,883.0
Wojtek Wolski,Left_wing,190,95,26.3,451,99.0,168.0,930.0
Wyatt Smith,Centre,180,93,28.7,211,10.0,22.0,179.0
Xavier Delisle,Centre,180,88,27.2,14,3.0,2.0,15.0
Yan Golubovsky,Defence,190,94,26.0,27,1.0,4.0,11.0
Yan Stastny,Centre,178,87,27.5,91,6.0,10.0,68.0
Yanic Perreault,Centre,180,83,25.6,546,161.0,178.0,991.0
Yannick Tremblay,Defence,188,91,25.8,312,34.0,76.0,584.0
Yannick Weber,Defence,180,91,28.1,497,28.0,66.0,638.0
Yuri Babenko,Centre,185,93,27.2,3,0.0,0.0,2.0
Yuri Butsayev,Left_wing,185,83,24.2,99,10.0,4.0,95.0
Yves Sarault,Left_wing,185,86,25.1,32,5.0,6.0,57.0
Zac Rinaldo,Centre,178,87,27.5,370,18.0,24.0,292.0
Zach Bogosian,Defence,190,103,28.5,644,53.0,143.0,1239.0
Zach Boychuk,Centre,178,84,26.5,127,12.0,18.0,155.0
Zach Fitzgerald,Defence,188,93,26.3,1,0.0,0.0,1.0
Zach Hamill,Centre,180,82,25.3,20,0.0,4.0,15.0
Zach Hyman,Centre,185,93,27.2,302,71.0,81.0,591.0
Zach Parise,Left_wing,180,89,27.5,1015,386.0,406.0,3316.0
Zack Kassian,Right_wing,190,94,26.0,525,82.0,95.0,697.0
Zack Smith,Centre,188,95,26.9,662,98.0,106.0,1035.0
Zack Stortini,Right_wing,193,98,26.3,257,14.0,27.0,141.0
Zarley Zalapski,Defence,185,98,28.6,12,0.0,2.0,6.0
Zbynek Michalek,Defence,188,95,26.9,784,42.0,136.0,1027.0
Zdenek Blatny,Left_wing,185,88,25.7,25,3.0,0.0,22.0
Zdenek Kutlak,Defence,190,100,27.7,16,1.0,2.0,8.0
Zdeno Chara,Defence,206,113,26.6,1469,203.0,444.0,3205.0
Zdeno Ciger,Left_wing,185,91,26.6,56,12.0,13.0,92.0
Zenith Komarniski,Defence,183,91,27.2,21,1.0,1.0,22.0
Zenon Konopka,Centre,183,97,29.0,346,12.0,18.0,200.0
Zigmund Palffy,Right_wing,178,85,26.8,353,161.0,221.0,1062.0
